storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components
WP222020,GONI,2020,0,1,0,0.0,0,0.0,0.0,0.0,1
WP222020,GONI,2020,1,2,0,0.0,0,0.0,0.0,0.0,1
WP222020,GONI,2020,2,3,0,0.0,0,0.0,0.0,0.0,1
WP222020,GONI,2020,3,4,3,0.012711864406779662,0,0.0,0.0,0.0,3
WP222020,GONI,2020,4,5,3,0.012711864406779662,0,0.0,0.0,0.0,3
WP222020,GONI,2020,5,6,3,0.012711864406779662,0,0.0,0.0,0.0,3
WP222020,GONI,2020,6,7,3,0.012711864406779662,0,0.0,0.0,0.0,3
WP222020,GONI,2020,7,8,3,0.012711864406779662,0,0.0,0.0,0.0,3
WP222020,GONI,2020,8,9,3,0.012711864406779662,0,0.0,0.0,0.0,3
WP222020,GONI,2020,9,10,3,0.012711864406779662,0,0.0,0.0,0.0,3
WP222020,GONI,2020,10,11,3,0.012711864406779662,0,0.0,0.0,0.0,3
