storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components
WP242015,KOPPU,2015,0,1,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,1,2,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,2,3,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,3,4,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,4,5,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,5,6,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,6,7,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,7,8,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,8,9,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,9,10,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,10,11,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,11,12,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,12,13,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,13,14,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,14,15,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,15,16,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,16,17,0,0.0,0,0.0,0.0,0.0,1
WP242015,KOPPU,2015,17,18,0,0.0,0,0.0,0.0,0.0,1
