storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP272009,UNNAMED,2009,0,1,0,0.0,0,0.0,0.0,0.0,1,0.013036610131957213
WP272009,UNNAMED,2009,1,2,0,0.0,0,0.0,0.0,0.0,1,0.013036610131957213
WP272009,UNNAMED,2009,2,3,0,0.0,0,0.0,0.0,0.0,1,0.013058634468102225
WP272009,UNNAMED,2009,3,4,0,0.0,0,0.0,0.0,0.0,1,0.016273570784745763
WP272009,UNNAMED,2009,4,5,0,0.0,0,0.0,0.0,0.0,1,0.020703116256037137
WP272009,UNNAMED,2009,5,6,0,0.0,0,0.0,0.0,0.0,1,0.020703116256037137
WP272009,UNNAMED,2009,6,7,0,0.0,0,0.0,0.0,0.0,1,0.020703116256037137
WP272009,UNNAMED,2009,7,8,0,0.0,0,0.0,0.0,0.0,1,0.03705478833075625
WP272009,UNNAMED,2009,8,9,0,0.0,0,0.0,0.0,0.0,1,0.03705478833075625
