bus_id,lon,lat,v_nom,bus_pop_local_nb,unserved_frequency
01AMBKLAO,120.741167,16.45857995,230,47259.168243169785,0.0
01ANGAT,121.0309764,14.92252853,230,282071.80629730225,0.0
01ANGSJO_TP2,121.1663025,14.90769283,115,389384.9829298258,0.006191950464396285
01ANGSJO_TP4,121.1663025,14.90769283,115,0.0,0.0030959752321981426
01BAKUN,120.8238584,16.76351865,230,509258.30348336697,0.0
01BALINGUEO,120.4019109,15.95866114,230,2253672.3993377686,0.0030959752321981426
01BALSIK,120.6505793,14.91353163,500,950802.1523244381,0.0030959752321981426
01BAUANG,120.4118675,16.60818654,230,297481.18374061584,0.0030959752321981426
01BCCPP,120.5964345,14.54468633,230,28918.222611427307,0.0
01BCNOTAN,120.3687725,16.75977011,230,429175.73791885376,0.006191950464396285
01BINGA,120.726877,16.38714954,230,90079.94793868065,0.0
01BNTAY,120.3913589,17.59532069,115,614141.965502739,0.0
01BOTOLAN,120.0119933,15.30045464,230,233101.58558785915,0.0
01BPC,121.3379149,14.39588336,230,108820.66070079803,0.018575851393188854
01BPPC,120.3275107,16.49071487,230,497642.21321105957,0.0
01BURGOS,120.6490002,18.53398369,230,41382.63503527641,0.0
01BYOMBNG,121.1123331,16.47257449,230,597024.6035888493,0.009287925696594427
01CASCNAN,121.2009157,15.84631117,230,326756.4689706117,0.0
01CAWAGO,120.2121254,14.83065685,230,130757.32956051826,0.006191950464396285
01CAYANGA,120.2118331,15.92256893,230,308631.4992041588,0.0
01CBNTUAN,120.9429922,15.44081855,230,1967515.224138856,0.0030959752321981426
01CLARK,120.5153485,15.19327632,230,807482.2736565471,0.015479876160990712
01CNCEPCN,120.6178226,15.37780441,230,1281104.420873642,0.0
01CURIMAO,120.5132268,18.00652176,115,359442.8478079438,0.0
01DUHAT,120.9531251,14.78699102,230,1204561.0351400375,0.0
01EHVNAGSAAG,120.6514578,16.06252858,230,744027.4828423262,0.0030959752321981426
01EHVSJOS,121.0483096,14.82162551,500,2393119.685787201,0.0
01GAMU,121.8191528,17.04803008,500,1240797.5389269292,0.015479876160990712
01HERMOSA,120.7805211,14.96435658,230,380625.8412780762,0.0
01KDAMEHV,120.1659028,15.98001924,500,47658.53385782242,0.0
01LAMAO,120.6007292,14.52106789,230,61646.94368362427,0.0
01LAOAG,120.6056228,18.21468543,115,443039.47109657526,0.0
01LATRINI,120.6300619,16.43778525,230,830506.3956403732,0.01238390092879257
01LBRADOR,120.1842921,16.02784474,230,267835.4151992798,0.0030959752321981426
01LIMAY,120.5972664,14.54573648,230,378591.6270208359,0.01238390092879257
01MAGAT,121.4552882,16.82833887,230,346339.704595685,0.0
01MALOLOS,120.8239729,14.87270687,230,1010367.9193229675,0.0030959752321981426
01MARIVELES,120.5289764,14.45025238,500,196377.1063617468,0.0
01MEXICO,120.7158539,15.05488466,230,1215536.9559144974,0.0
01MPGC,120.4330891,14.44999501,230,95186.2697763443,0.0
01MSINLOC,119.9234709,15.56883079,230,311319.053976655,0.0
01OLONGAP,120.2716297,14.83717791,230,287264.2844336033,0.006191950464396285
01PAGUDPUD,120.7885729,18.619094,230,486801.5765583515,0.0
01PANTABA,121.1088937,15.81218761,230,712943.4234979153,0.0
01PASUQUIN,120.6392652,18.34463934,230,81640.8962316513,0.0
01SBMA,120.3013176,14.81779203,230,329813.7749273777,0.0
01SNESTBN,120.4472129,17.34299021,230,534302.1552312672,0.0
01SNMANUEL,120.6506293,16.06303221,230,455195.10132694244,0.006191950464396285
01SNMARCELINO,120.1416454,14.97091963,230,280080.49269229174,0.0
01SNRAFAEL,120.9390471,15.02418101,230,738579.5633581877,0.0
01SNROQUE,120.5261828,15.29628888,230,223903.31899404526,0.0
01SNTGO,121.5412147,16.72942123,230,1101332.3780734837,0.015479876160990712
01SUAL,120.055461,16.09747953,230,766832.2626957893,0.0
01T_ASIA,121.0782897,14.89504593,230,137190.91616630554,0.0
01TGEGARAO,121.7693882,17.62428834,230,2117531.6196603477,0.018575851393188854
02DOLORES,121.1411741,14.57269264,230,3957143.24517107,0.0030959752321981426
02DONAIMELDA,121.0155714,14.62215698,230,2621332.9455566406,0.006191950464396285
02MANILA,120.9993479,14.58073127,230,2783354.487464905,0.006191950464396285
02MUNTINLUPA,121.052491,14.444463,230,1605273.3682861328,0.006191950464396285
02QUEZON,121.0216949,14.66566604,230,5562161.452140808,0.0030959752321981426
02ZAPOTE,120.9874793,14.48456999,230,3117836.7950286865,0.01238390092879257
03AMADEO,121.0043114,14.21558559,230,636260.4124154449,0.0
03AVION,121.041631,13.77051954,230,464516.72200012207,0.0
03BACMANGP,123.9683161,13.05498921,230,1790441.0133895874,0.021671826625386997
03BATANGAS,121.0795612,13.83377943,230,1022528.1219348907,0.0030959752321981426
03BINAN,121.0764751,14.33009645,230,1038349.54347229,0.0030959752321981426
03CALAMBA,121.1422551,14.20075852,230,1061838.0685634613,0.0030959752321981426
03CALAUAN,121.3125587,14.17060438,230,534453.118686676,0.01238390092879257
