storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,mean_bus_weight_impacted,year,storm_name,rank
WP182006,18.795305651836756,0.4834968852119607,0.05558351008734139,82,1.4900468920347418,2006,XANGSANE,1
WP072008,16.209838260658596,0.29974246325593584,0.04623483049129675,117,1.4900468920347418,2008,FENGSHEN,2
WP312000,14.236040885320335,0.33515513792276247,0.038206706634040896,74,1.4900468920347418,2000,BEBINCA,3
WP302000,14.213882684655534,0.32511179796821943,0.04066749241327979,86,1.4900468920347418,2000,XANGSANE,4
WP262022,13.327786751969864,0.18770813738403944,0.0381222454512727,87,1.4900468920347418,2022,NALGAE,5
WP222020,12.112664584710473,0.624988615851977,0.03492174787868745,67,1.4900468920347418,2020,GONI,6
WP092014,10.928688063531988,0.4120357935273776,0.03172134381901971,70,1.4900468920347418,2014,RAMMASUN,7
WP182022,9.85333795745838,0.5118010494438756,0.028917228889922916,76,1.4900468920347418,2022,NORU,8
WP132002,9.491433358779041,0.15201893303403125,0.02619505606904526,106,1.4900468920347418,2002,UNNAMED,9
WP182021,8.078017279303879,0.20922348491595877,0.024547265177201485,85,1.4900468920347418,2021,CONSON,10
WP012024,7.437326130490724,0.21985502218143266,0.02125745794766785,76,1.4900468920347418,2024,EWINIAR,11
WP032010,7.4302896168434325,0.24348007994726595,0.01878684743688883,70,1.4900468920347418,2010,CONSON,12
WP242006,6.337720509483108,0.43448725864843946,0.020159985279800525,50,1.4900468920347418,2006,DURIAN,13
WP252020,6.207000146123358,0.2262707764614993,0.01632745656853693,73,1.4900468920347418,2020,VAMCO,14
WP312013,5.927831342613349,0.6626603006357026,0.02389201658940902,44,1.4900468920347418,2013,HAIYAN,15
WP062013,5.730395552330449,0.19449775450481252,0.015776767122177675,77,1.4900468920347418,2013,RUMBIA,16
WP212008,5.645835556423365,0.1682661658063015,0.01645533208191316,74,1.4900468920347418,2008,HIGOS,17
WP232009,5.620774521077393,0.2583102643265878,0.016279699089433608,66,1.4900468920347418,2009,MIRINAE,18
WP282015,5.427517666077606,0.19935988109416358,0.016594830303420023,74,1.4900468920347418,2015,MELOR,19
WP242015,5.386126480305187,0.417001489643053,0.01980987672704473,49,1.4900468920347418,2015,KOPPU,20
WP282021,5.353779188681439,0.26983442045312656,0.020629277734278677,51,1.4900468920347418,2021,RAI,21
WP222014,5.166399239434405,0.23265380060257487,0.016615373150133426,75,1.4900468920347418,2014,HAGUPIT,22
WP012020,4.819594120650786,0.22122931638781484,0.015760121950578312,106,1.4900468920347418,2020,VONGFONG,23
WP242013,4.427597479122383,0.3564284663131446,0.014053631857758216,59,1.4900468920347418,2013,NARI,24
WP302017,4.0540998688154355,0.10724138542883278,0.011842621462070936,77,1.4900468920347418,2017,HAIKUI,25
WP232006,3.7508235935669596,0.2786808195141166,0.013721494944675604,41,1.4900468920347418,2006,CHEBI,26
WP152010,3.4371073936704333,0.5037694306332406,0.012911206005769013,26,1.4900468920347418,2010,MEGI,27
WP312018,3.3692288424497465,0.378858473628033,0.013022415778217672,26,1.4900468920347418,2018,YUTU,28
WP212017,3.365700211794697,0.14160355993085277,0.009410054687398568,66,1.4900468920347418,2017,DOKSURI,29
WP302019,3.2617729260350927,0.5186482093679415,0.01354578886158412,33,1.4900468920347418,2019,PHANFONE,30
WP112013,3.2066800321507984,0.4311348100190435,0.012377825472862475,27,1.4900468920347418,2013,UTOR,31
WP052011,3.0903632278214097,0.12216417388780205,0.009112616035060127,67,1.4900468920347418,2011,SARIKA,32
WP302016,3.080071049945065,0.1984667298836318,0.009898297771785934,58,1.4900468920347418,2016,NOCK-TEN,33
WP182002,3.0474267814333587,0.08101784412084276,0.007531554714811346,67,1.4900468920347418,2002,UNNAMED,34
WP262012,3.0095757407385246,0.20388850731182478,0.012539607035965942,49,1.4900468920347418,2012,BOPHA,35
WP022005,2.875016513376612,0.1697785477808166,0.011455837757600278,48,1.4900468920347418,2005,ROKE,36
WP272001,2.790104769491468,0.11715651530391198,0.010933311344395765,51,1.4900468920347418,2001,LINGLING,37
WP202011,2.6438691341830425,0.3807386018270301,0.010274719279012051,26,1.4900468920347418,2011,NESAT,38
WP022009,2.624503687482578,0.31083949399183497,0.009879627372809029,29,1.4900468920347418,2009,CHAN-HOM,39
WP052008,2.5437853025680197,0.20484340500084858,0.009452438542124476,33,1.4900468920347418,2008,HALONG,40
WP222011,2.3116607248982994,0.4238526677751773,0.00888656623131514,28,1.4900468920347418,2011,NALGAE,41
WP082004,2.272640290570109,0.18005352391788487,0.008995820171770088,54,1.4900468920347418,2004,CHANTHU,42
WP222006,2.238964788719342,0.23496533725483812,0.008741649661673333,27,1.4900468920347418,2006,CIMARON,43
WP232014,2.20686207313071,0.11012343724808256,0.00895366486936256,58,1.4900468920347418,2014,JANGMI,44
