storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP272003,UNNAMED,2003,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0
WP272003,UNNAMED,2003,1,2,0,0.0,0,0.0,0.0,0.0,1,0.0
WP272003,UNNAMED,2003,2,3,0,0.0,0,0.0,0.0,0.0,1,0.0
WP272003,UNNAMED,2003,3,4,0,0.0,0,0.0,0.0,0.0,1,0.0
WP272003,UNNAMED,2003,4,5,0,0.0,0,0.0,0.0,0.0,1,0.0026292654169920364
WP272003,UNNAMED,2003,5,6,0,0.0,0,0.0,0.0,0.0,1,0.016449348214752708
WP272003,UNNAMED,2003,6,7,0,0.0,0,0.0,0.0,0.0,1,0.1257593529702156
