storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components
WP232011,BANYAN,2011,0,1,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,1,2,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,2,3,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,3,4,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,4,5,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,5,6,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,6,7,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,7,8,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,8,9,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,9,10,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,10,11,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,11,12,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,12,13,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,13,14,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,14,15,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,15,16,0,0.0,0,0.0,0.0,0.0,1
WP232011,BANYAN,2011,16,17,0,0.0,0,0.0,0.0,0.0,1
