storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP292019,KAMMURI,2019,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP292019,KAMMURI,2019,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0
WP292019,KAMMURI,2019,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.10663965467789083
WP292019,KAMMURI,2019,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.22688608962083737
WP292019,KAMMURI,2019,4,5,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
WP292019,KAMMURI,2019,5,6,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
WP292019,KAMMURI,2019,6,7,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
WP292019,KAMMURI,2019,7,8,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
WP292019,KAMMURI,2019,8,9,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
WP292019,KAMMURI,2019,9,10,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
WP292019,KAMMURI,2019,10,11,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
WP292019,KAMMURI,2019,11,12,4,0.01694915254237288,3,0.015625,4588749.446650982,0.029690014268515752,4,1,3,0.6628989915953771
