storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP032002,UNNAMED,2002,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0048468219551817526
WP032002,UNNAMED,2002,1,2,0,0.0,0,0.0,0.0,0.0,1,0.07344632579555867
WP032002,UNNAMED,2002,2,3,0,0.0,0,0.0,0.0,0.0,1,0.07943045271139718
WP032002,UNNAMED,2002,3,4,0,0.0,0,0.0,0.0,0.0,1,0.08319261051521971
WP032002,UNNAMED,2002,4,5,0,0.0,0,0.0,0.0,0.0,1,0.15785732698378724
WP032002,UNNAMED,2002,5,6,0,0.0,0,0.0,0.0,0.0,1,0.15785732698378724
WP032002,UNNAMED,2002,6,7,0,0.0,0,0.0,0.0,0.0,1,0.15785732698378724
WP032002,UNNAMED,2002,7,8,0,0.0,0,0.0,0.0,0.0,1,0.15785732698378724
WP032002,UNNAMED,2002,8,9,0,0.0,0,0.0,0.0,0.0,1,0.15785732698378724
WP032002,UNNAMED,2002,9,10,0,0.0,0,0.0,0.0,0.0,1,0.15785732698378724
WP032002,UNNAMED,2002,10,11,0,0.0,0,0.0,0.0,0.0,1,0.15785732698378724
