storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP102015,LINFA,2015,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,6,7,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,7,8,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP102015,LINFA,2015,8,9,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.03474445870479531,5.096195504208102e-05,9.376738080060004e-05
WP102015,LINFA,2015,9,10,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.07492314816882774,5.249408098304804e-05,0.00019324019835039604
WP102015,LINFA,2015,10,11,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.00012868842587460643,0.00907216402807356
WP102015,LINFA,2015,11,12,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002291064334491427,0.00907216402807356
WP102015,LINFA,2015,12,13,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,13,14,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,14,15,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,15,16,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,16,17,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,17,18,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,18,19,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,19,20,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,20,21,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,21,22,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,22,23,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
WP102015,LINFA,2015,23,24,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.28925383973566965,0.0002292374992086866,0.00907216402807356
