storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP302013,UNNAMED,2013,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP302013,UNNAMED,2013,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.03148544773450802,5.116014720477835e-05,8.84254821564848e-05
WP302013,UNNAMED,2013,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.06971504136189367,5.699990043081876e-05,0.00017595096284796555
WP302013,UNNAMED,2013,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.14581344945652855,8.589397328398887e-05,0.0006919131870530003
WP302013,UNNAMED,2013,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.14581344945652855,8.642787339875714e-05,0.0006919131870530003
WP302013,UNNAMED,2013,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.14581344945652855,8.642787339875714e-05,0.0006919131870530003
WP302013,UNNAMED,2013,6,7,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.14581344945652855,8.642787339875714e-05,0.0006919131870530003
