storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,n_generator_buses_considered,rank,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v3,rank_index
WP102000,BOLAVEN,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,12,0.0,0.0,0.0,0.0,12
WP182000,BILIS,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,13,0.0,0.0,0.0,0.0,13
WP192000,KAEMI,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,14,0.0,0.0,0.0,0.0,14
WP212000,MARIA,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,15,0.0,0.0,0.0,0.0,15
WP232000,WUKONG,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,16,0.0,0.0,0.0,0.0,16
WP242000,BOPHA,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,17,0.0,0.0,0.0,0.0,17
WP302000,XANGSANE,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,133,18,0.0,0.0,0.0,0.0,18
WP312000,BEBINCA,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,22,133,19,0.0,0.0,0.0,0.0,19
WP322000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,20,0.0,0.0,0.0,0.0,20
WP332000,RUMBIA,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,17,133,21,0.0,0.0,0.0,0.0,21
