storm_id,storm_name,year,grid_impact_index_v5r,grid_impact_index_v5r_stoch,rank_v5r_det,rank_v5r_stoch,rank_shift,abs_rank_shift
WP222014,HAGUPIT,2014,0.0,0.12922595823361493,20.0,25.0,-5.0,5.0
WP212014,SINLAKU,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP322013,PODUL,2013,0.0,0.0,20.0,85.0,-65.0,65.0
WP152014,KALMAEGI,2014,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP142014,UNNAMED,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP132014,FENGSHEN,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP102014,MATMO,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP082014,NEOGURI,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP072014,HAGIBIS,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP042014,UNNAMED,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP022014,KAJIKI,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP012014,LINGLING,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP162014,FUNG-WONG,2014,0.0,0.0,20.0,85.0,-65.0,65.0
WP052023,DOKSURI,2023,0.0,0.0,20.0,85.0,-65.0,65.0
WP042023,TALIM,2023,0.0,0.0,20.0,85.0,-65.0,65.0
WP022023,MAWAR,2023,0.0,0.0,20.0,85.0,-65.0,65.0
WP292022,PAKHAR,2022,0.0,0.0,20.0,85.0,-65.0,65.0
WP262022,NALGAE,2022,0.0,0.21487138232443512,20.0,15.0,5.0,5.0
WP252022,UNNAMED,2022,0.0,0.0,20.0,85.0,-65.0,65.0
WP232022,NESAT,2022,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP142022,MUIFA,2022,0.0,0.0,20.0,85.0,-65.0,65.0
WP282017,DAMREY,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP102022,MA-ON,2022,0.0,0.0,20.0,85.0,-65.0,65.0
WP242020,ETAU,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP232020,ATSANI,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP212020,MOLAVE,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP192020,SAUDEL,2020,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP182020,NANGKA,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP172020,LINFA,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP132020,NOUL,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP092020,BAVI,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP122022,HINNAMNOR,2022,0.0,0.0,20.0,85.0,-65.0,65.0
WP022001,UNNAMED,2001,0.0,0.0,20.0,85.0,-65.0,65.0
WP012001,UNNAMED,2001,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP342000,SOULIK,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP332000,RUMBIA,2000,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP322000,UNNAMED,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP312000,BEBINCA,2000,0.0,0.757562147182341,20.0,3.0,17.0,17.0
WP302000,XANGSANE,2000,0.0,0.45608089507415084,20.0,6.0,14.0,14.0
WP242000,BOPHA,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP232000,WUKONG,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP092023,SAOLA,2023,0.0,0.058429620598998415,20.0,39.0,-19.0,19.0
WP192000,KAEMI,2000,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP182000,BILIS,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP102000,BOLAVEN,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP072000,UNNAMED,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP062000,KAI-TAK,2000,0.0,0.05486664090158237,20.0,40.0,-20.0,20.0
WP012024,EWINIAR,2024,0.0,0.03031269920850598,20.0,49.0,-29.0,29.0
WP182023,JELAWAT,2023,0.0,0.0,20.0,85.0,-65.0,65.0
WP142023,KOINU,2023,0.0,0.0,20.0,85.0,-65.0,65.0
WP102023,HAIKUI,2023,0.0,0.0,20.0,85.0,-65.0,65.0
WP212000,MARIA,2000,0.0,0.0,20.0,85.0,-65.0,65.0
WP032019,UNNAMED,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP012019,UNNAMED,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP352018,UNNAMED,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP332018,USAGI,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP312018,YUTU,2018,0.0,0.24120592832714213,20.0,14.0,6.0,6.0
WP272018,BARIJAT,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP132018,UNNAMED,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP112018,SON-TINH,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP082018,GAEMI,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP082020,HIGOS,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP062018,MALIKSI,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP022018,SANBA,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP332017,TEMBIN,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP322017,KAI-TAK,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP312017,KIROGI,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP302017,HAIKUI,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP212012,GAEMI,2012,0.0,0.0,20.0,85.0,-65.0,65.0
WP262017,UNNAMED,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP242017,KHANUN,2017,0.0,0.0,20.0,85.0,-65.0,65.0
WP072018,UNNAMED,2018,0.0,0.0,20.0,85.0,-65.0,65.0
WP072020,MEKKHALA,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP052020,JANGMI,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP042020,SINLAKU,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP032020,HAGUPIT,2020,0.0,0.0,20.0,85.0,-65.0,65.0
WP022020,NURI,2020,0.0,0.05486664090158237,20.0,40.0,-20.0,20.0
WP012020,VONGFONG,2020,0.0,0.08031906497178656,20.0,31.0,-11.0,11.0
WP282019,FUNG-WONG,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP272019,KALMAEGI,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP252019,NAKRI,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP042019,UNNAMED,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP212019,NEOGURI,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP192019,MITAG,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP162019,KAJIKI,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP152019,LINGLING,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP132019,PODUL,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP122019,BAILU,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP102019,LEKIMA,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP082019,WIPHA,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP062019,DANAS,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP232019,BULBUL:MATMO,2019,0.0,0.0,20.0,85.0,-65.0,65.0
WP042004,NIDA,2004,0.0,0.0,20.0,85.0,-65.0,65.0
WP022004,UNNAMED,2004,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP272003,UNNAMED,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP252003,NEPARTAK,2003,0.0,0.07011498333913352,20.0,34.0,-14.0,14.0
WP242003,MELOR,2003,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP222003,UNNAMED,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP182003,UNNAMED,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP162003,CHOI-WAN,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP142012,KAI-TAK,2012,0.0,0.0,20.0,85.0,-65.0,65.0
WP132003,VAMCO,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP122003,KROVANH,2003,0.0,0.07512079041663527,20.0,32.0,-12.0,12.0
WP102003,MORAKOT,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP092003,IMBUDO,2003,0.0,0.01020408163265306,20.0,54.0,-34.0,34.0
WP082003,KONI,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP072003,SOUDELOR,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP062003,NANGKA,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP052003,LINFA,2003,0.0,0.00510204081632653,20.0,61.0,-41.0,41.0
WP022003,KUJIRA,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP142003,DUJUAN,2003,0.0,0.0,20.0,85.0,-65.0,65.0
WP022006,CHANCHU,2006,0.0,0.17573860900796814,20.0,20.0,0.0,0.0
WP252005,UNNAMED,2005,0.0,0.0,20.0,85.0,-65.0,65.0
