storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP252020,VAMCO,2020,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP252020,VAMCO,2020,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP252020,VAMCO,2020,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP252020,VAMCO,2020,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.055907587426588856,5.317593151211579e-05,0.00013723707231260164
WP252020,VAMCO,2020,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.18899233774096805,7.45181306562587e-05,0.0015039759733579228
WP252020,VAMCO,2020,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.3960167229124773,0.0005827458770395057,0.05887280741814931
WP252020,VAMCO,2020,6,7,4,0.01694915254237288,4,0,0.0,0.0,0.0,2,2,0,0.558613176115161,0.016330694114557127,0.5386818421209931
WP252020,VAMCO,2020,7,8,10,0.0423728813559322,6,2,0.010416666666666666,389384.9829298258,0.0025193891785854137,4,2,2,0.558613176115161,0.016385757295189353,0.5386818421209931
WP252020,VAMCO,2020,8,9,11,0.046610169491525424,1,2,0.010416666666666666,389384.9829298258,0.0025193891785854137,4,2,2,0.558613176115161,0.016385757295189353,0.5386818421209931
WP252020,VAMCO,2020,9,10,11,0.046610169491525424,0,2,0.010416666666666666,389384.9829298258,0.0025193891785854137,4,2,2,0.558613176115161,0.016385757295189353,0.5386818421209931
WP252020,VAMCO,2020,10,11,11,0.046610169491525424,0,2,0.010416666666666666,389384.9829298258,0.0025193891785854137,4,2,2,0.558613176115161,0.016385757295189353,0.5386818421209931
