storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_failed_lines_new,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step,mean_line_p_fail_this_step,max_line_p_fail_this_step
WP242013,NARI,2013,0,1,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP242013,NARI,2013,1,2,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP242013,NARI,2013,2,3,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP242013,NARI,2013,3,4,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP242013,NARI,2013,4,5,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.0,5.017216468376421e-05,5.0172164683764205e-05
WP242013,NARI,2013,5,6,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.08189528517260874,5.315821431346453e-05,0.00021907334747569903
WP242013,NARI,2013,6,7,0,0.0,0,0,0.0,0.0,0.0,1,1,0,0.1141065121396471,0.00010818921885116431,0.000391128664589917
WP242013,NARI,2013,7,8,2,0.00847457627118644,2,0,0.0,0.0,0.0,1,1,0,0.5246787910121395,0.008411821088297041,0.38798698300500156
WP242013,NARI,2013,8,9,5,0.0211864406779661,3,0,0.0,0.0,0.0,2,2,0,0.5246787910121395,0.008411821088297041,0.38798698300500156
WP242013,NARI,2013,9,10,7,0.029661016949152543,2,1,0.005208333333333333,807482.2736565471,0.00522455202777165,3,2,1,0.5246787910121395,0.008411821088297041,0.38798698300500156
WP242013,NARI,2013,10,11,7,0.029661016949152543,0,1,0.005208333333333333,807482.2736565471,0.00522455202777165,3,2,1,0.5246787910121395,0.008411821088297041,0.38798698300500156
