storm_id,storm_name,year,peak_t,peak_affected_population_proxy,peak_affected_population_share_proxy,peak_n_unserved_buses,peak_unserved_bus_share,peak_n_failed_lines_cumulative,peak_failed_line_share_cumulative,final_affected_population_proxy,final_n_unserved_buses,final_n_failed_lines_cumulative,n_timesteps,n_generator_buses_considered,rank,peak_affected_population_proxy_norm,peak_n_failed_lines_norm,peak_n_unserved_buses_norm,grid_impact_index_v2,rank_index
WP312013,HAIYAN,2013,0,0.0,0.0,0,0.0,4,0.01694915254237288,0.0,0,4,6,133,1,0.0,1.0,0.0,0.25,1
WP222020,GONI,2020,0,0.0,0.0,0,0.0,3,0.012711864406779662,0.0,0,3,11,133,2,0.0,0.75,0.0,0.1875,2
WP022000,LONGWANG,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,6,133,3,0.0,0.0,0.0,0.0,3
WP032000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,4,0.0,0.0,0.0,0.0,4
WP042000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,5,0.0,0.0,0.0,0.0,5
WP062000,KAI-TAK,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,23,133,6,0.0,0.0,0.0,0.0,6
WP072000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,9,133,7,0.0,0.0,0.0,0.0,7
WP102000,BOLAVEN,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,8,0.0,0.0,0.0,0.0,8
WP182000,BILIS,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,9,0.0,0.0,0.0,0.0,9
WP192000,KAEMI,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,1,133,10,0.0,0.0,0.0,0.0,10
WP212000,MARIA,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,2,133,11,0.0,0.0,0.0,0.0,11
WP232000,WUKONG,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,10,133,12,0.0,0.0,0.0,0.0,12
WP242000,BOPHA,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,8,133,13,0.0,0.0,0.0,0.0,13
WP302000,XANGSANE,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,18,133,14,0.0,0.0,0.0,0.0,14
WP312000,BEBINCA,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,22,133,15,0.0,0.0,0.0,0.0,15
WP322000,UNNAMED,2000,0,0.0,0.0,0,0.0,0,0.0,0.0,0,0,5,133,16,0.0,0.0,0.0,0.0,16
