storm_id,storm_name,year,rank,impact_score,impact_land_only,impact_sea_only,land_share_of_split
WP182006,XANGSANE,2006,1,18.795305651836756,19.038874612258844,1.109082558084925,0.9449531012644097
WP072008,FENGSHEN,2008,2,16.209838260658596,15.340869096838855,1.9493072177059079,0.8872592631651697
WP312000,BEBINCA,2000,3,14.236040885320335,14.096638715579674,1.5793388650106874,0.8992510127747192
WP302000,XANGSANE,2000,4,14.213882684655534,7.733305684540364,9.24553744865895,0.455467173109054
WP262022,NALGAE,2022,5,13.327786751969864,13.458561736702451,2.22394771622277,0.8581892953485234
WP222020,GONI,2020,6,12.112664584710473,12.16472949139519,1.0682125091749506,0.9192762645578794
WP092014,RAMMASUN,2014,7,10.928688063531988,4.193052949357631,7.916340125656774,0.3462645009029607
WP182022,NORU,2022,8,9.85333795745838,9.322839140472698,1.8750146423621086,0.832555891626633
WP132002,UNNAMED,2002,9,9.491433358779041,9.077786520527752,2.3367554113080065,0.7952825943202615
WP182021,CONSON,2021,10,8.078017279303879,6.415498330355136,3.7770613597907605,0.6294295569892615
WP012024,EWINIAR,2024,11,7.437326130490724,7.319792144729392,3.1441459488785553,0.6995255590436641
WP032010,CONSON,2010,12,7.4302896168434325,7.203319336268851,1.2788781173714399,0.8492279713645918
WP242006,DURIAN,2006,13,6.337720509483108,2.1596148255758427,4.5469379251135855,0.322015632450492
WP252020,VAMCO,2020,14,6.207000146123358,5.794297774695393,0.7985009450070998,0.8788828570450983
WP312013,HAIYAN,2013,15,5.927831342613349,6.107462595419814,0.0,1.0
WP062013,RUMBIA,2013,16,5.730395552330449,5.579215792802501,0.5485381236992134,0.9104830038585542
WP212008,HIGOS,2008,17,5.645835556423365,4.704824079502502,1.8321965837972296,0.719719933870856
WP232009,MIRINAE,2009,18,5.620774521077393,4.362071748423276,2.3675169422850963,0.6481929206826627
WP282015,MELOR,2015,19,5.427517666077606,2.0893419851897046,5.246738956309729,0.28480356226313125
WP242015,KOPPU,2015,20,5.386126480305187,4.993266080572746,1.8270603346800958,0.7321154115741302
WP282021,RAI,2021,21,5.353779188681439,0.0,5.353779188681439,0.0
WP222014,HAGUPIT,2014,22,5.166399239434405,3.844924694304542,4.166516735799689,0.47992920223527347
WP012020,VONGFONG,2020,23,4.819594120650786,1.415322471150207,3.646018184872884,0.27963390874825755
WP242013,NARI,2013,24,4.427597479122383,4.520439895589813,0.3757439965331318,0.9232577850808189
WP302017,HAIKUI,2017,25,4.0540998688154355,3.293152246735083,1.4155711992638809,0.6993726186092535
WP232006,CHEBI,2006,26,3.7508235935669596,3.673419095157825,0.6676014181052331,0.8462109506127603
WP152010,MEGI,2010,27,3.4371073936704333,3.4085356490715957,0.44590105156159177,0.8843148594220417
WP312018,YUTU,2018,28,3.3692288424497465,3.4691214135416644,0.1345779041962411,0.962655623477289
WP212017,DOKSURI,2017,29,3.365700211794697,2.3009264214964373,1.880724210352882,0.5502435817979517
WP302019,PHANFONE,2019,30,3.2617729260350927,2.4900933268529313,0.9368023135870204,0.7266323775570965
WP112013,UTOR,2013,31,3.2066800321507984,3.2914594471117655,0.1654834830193154,0.9521301084906715
WP052011,SARIKA,2011,32,3.0903632278214097,2.2768234877382727,1.8918401583716766,0.5461758685815117
