storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components
WP242006,DURIAN,2006,0,1,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,1,2,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,2,3,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,3,4,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,4,5,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,5,6,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,6,7,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,7,8,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,8,9,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,9,10,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,10,11,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,11,12,0,0.0,0,0.0,0.0,0.0,1
WP242006,DURIAN,2006,12,13,0,0.0,0,0.0,0.0,0.0,1
