storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,n_served_components,n_unserved_components,max_line_hazard_this_step
WP052003,LINFA,2003,0,1,0,0.0,0,0.0,0.0,0.0,1,1,0,0.01974369372704747
WP052003,LINFA,2003,1,2,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0201310448033129
WP052003,LINFA,2003,2,3,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0201310448033129
WP052003,LINFA,2003,3,4,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0201310448033129
WP052003,LINFA,2003,4,5,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0201310448033129
WP052003,LINFA,2003,5,6,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0201310448033129
WP052003,LINFA,2003,6,7,0,0.0,0,0.0,0.0,0.0,1,1,0,0.0201310448033129
WP052003,LINFA,2003,7,8,0,0.0,0,0.0,0.0,0.0,1,1,0,0.031364123746481155
WP052003,LINFA,2003,8,9,0,0.0,0,0.0,0.0,0.0,1,1,0,0.039367304626403254
WP052003,LINFA,2003,9,10,0,0.0,0,0.0,0.0,0.0,1,1,0,0.054556570824784004
WP052003,LINFA,2003,10,11,0,0.0,0,0.0,0.0,0.0,1,1,0,0.1268535616487758
WP052003,LINFA,2003,11,12,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,12,13,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,13,14,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,14,15,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,15,16,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,16,17,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,17,18,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,18,19,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
WP052003,LINFA,2003,19,20,0,0.0,0,0.0,0.0,0.0,1,1,0,0.3219874149065945
