name,cables,bus0,bus1,s_nom,x,r,lat0,lon0,lat1,lon1,lat_mid,lon_mid,line_id,failure_frequency
69_06CALATRAVA_06SNCARLOS,2,06CALATRAVA,06SNCARLOS,69.0,2.465775328,0.401045209,10.55356153,123.4606946,10.51580461,123.4335661,10.53468307,123.44713035,134,0.0
138_06BACOLOD_06KABANKALAN,2,06BACOLOD,06KABANKALAN,138.0,13.47234976,9.486944906,10.67627032,123.1145906,10.0192417,122.848185,10.347756010000001,122.9813878,135,0.0030959752321981426
138_06KABANKALAN_06MABINAY,2,06KABANKALAN,06MABINAY,138.0,5.703642547,4.016384933,10.0192417,122.848185,9.729626783,122.9255255,9.874434241500001,122.88685525,136,0.006191950464396285
138_06KABANKALAN_06KBANBESS,1,06KABANKALAN,06KBANBESS,138.0,0.067262881,0.047365104,10.0192417,122.848185,10.01997881,122.8516924,10.019610255,122.8499387,137,0.009287925696594427
138_06MABINAY_06AMLAN,2,06MABINAY,06AMLAN,138.0,7.64202788,5.381355052,9.729626783,122.9255255,9.457756504,123.2248121,9.593691643500001,123.0751688,138,0.0
138_06AMLAN_06PGPP2,2,06AMLAN,06PGPP2,138.0,3.603557022,2.537548945,9.457756504,123.2248121,9.280816763,123.1568919,9.3692866335,123.190852,139,0.0
138_06AMLAN_06PGPP1,2,06AMLAN,06PGPP1,138.0,3.190326309,2.246560582,9.457756504,123.2248121,9.296893436,123.1774662,9.37732497,123.20113914999999,140,0.0
138_06AMLAN_05SAMBOAN,2,06AMLAN,05SAMBOAN,138.0,2.431612262,1.712290132,9.457756504,123.2248121,9.552394872,123.3117005,9.505075688000002,123.26825629999999,141,0.0
138_05SAMBOAN_05DUMANJUG,2,05SAMBOAN,05DUMANJUG,138.0,9.526000858,6.708009137,9.552394872,123.3117005,10.03617433,123.4405471,9.794284601000001,123.3761238,142,0.0
230_05DUMANJUG_05MAGDUGO,2,05DUMANJUG,05MAGDUGO,230.0,3.394499267,7.03874917,10.03617433,123.4405471,10.3457421,123.665698,10.190958215,123.55312255000001,143,0.0
138_05DUMANJUG_09LALA,1,05DUMANJUG,09LALA,138.0,41.06993946,28.92058622,10.03617433,123.4405471,7.911227421,123.8119647,8.9737008755,123.6262559,144,0.0030959752321981426
230_05MAGDUGO_06CALATRAVA,1,05MAGDUGO,06CALATRAVA,230.0,2.581614454,5.35317146,10.3457421,123.665698,10.55356153,123.4606946,10.449651815,123.5631963,145,0.0
230_05MAGDUGO_05THERMA,1,05MAGDUGO,05THERMA,230.0,0.291475195,0.604395708,10.3457421,123.665698,10.35856192,123.6351288,10.352152010000001,123.6504134,146,0.0
138_05MAGDUGO_05DAANLUNSOD,1,05MAGDUGO,05DAANLUNSOD,138.0,16.19344771,11.40308476,10.3457421,123.665698,11.14643391,123.956809,10.746088005,123.8112535,147,0.0
138_05MAGDUGO_05CALUNG,2,05MAGDUGO,05CALUNG,138.0,1.333230416,0.938832774,10.3457421,123.665698,10.41572975,123.6671074,10.380735925,123.6664027,148,0.0
138_05MAGDUGO_05COLON,3,05MAGDUGO,05COLON,138.0,2.933941078,2.066019503,10.3457421,123.665698,10.22268355,123.7598772,10.284212825000001,123.71278760000001,149,0.0
138_05DUMANJUG_05COLON,2,05DUMANJUG,05COLON,138.0,6.961567828,4.902189417,10.03617433,123.4405471,10.22268355,123.7598772,10.12942894,123.60021215,150,0.0030959752321981426
13.8_05CALUNG_05TOLBESS,1,05CALUNG,05TOLBESS,13.8,40.6840642,0.220236256,10.41572975,123.6671074,10.34594264,123.6656658,10.380836195,123.66638660000001,151,0.0
13.8_05COLON_05NAGA,1,05COLON,05NAGA,13.8,18.57529796,0.100554213,10.22268355,123.7598772,10.2544303,123.7570366,10.238556925,123.7584569,152,0.006191950464396285
138_05COLON_05NAGA,2,05COLON,05NAGA,138.0,0.606980809,0.4274231,10.22268355,123.7598772,10.2544303,123.7570366,10.238556925,123.7584569,153,0.0030959752321981426
138_05COLON_05TOLEDO,1,05COLON,05TOLEDO,138.0,2.937355154,2.068423623,10.22268355,123.7598772,10.34594264,123.6656658,10.284313095,123.7127715,154,0.0030959752321981426
138_05CALUNG_05TOLEDO,1,05CALUNG,05TOLEDO,138.0,1.329423962,0.936152349,10.41572975,123.6671074,10.34594264,123.6656658,10.380836195,123.66638660000001,155,0.0
138_05COLON_05KSPC,2,05COLON,05KSPC,138.0,0.099115947,0.069795362,10.22268355,123.7598772,10.21827094,123.7626806,10.220477245,123.76127890000001,156,0.0030959752321981426
138_05COLON_05CEBU,2,05COLON,05CEBU,138.0,4.344199459,3.059093747,10.22268355,123.7598772,10.36522781,123.9408559,10.29395568,123.85036655,157,0.0030959752321981426
138_05COLON_05QUIOT,1,05COLON,05QUIOT,138.0,36.55087742,25.73835793,10.22268355,123.7598772,10.28792262,123.8561088,10.255303085,123.80799300000001,158,0.0030959752321981426
138_05CEBU_05MANDAUE,2,05CEBU,05MANDAUE,138.0,0.724010855,0.509833193,10.36522781,123.9408559,10.33472932,123.9639232,10.349978565,123.95238954999999,159,0.0030959752321981426
138_05MANDAUE_05LAPULAPU,2,05MANDAUE,05LAPULAPU,138.0,0.223182413,0.157160354,10.33472932,123.9639232,10.32383347,123.9683067,10.329281394999999,123.96611494999999,160,0.0030959752321981426
138_05MANDAUE_05COMPSTLA,2,05MANDAUE,05COMPSTLA,138.0,17.73800169,12.49072713,10.33472932,123.9639232,10.46649795,124.0065977,10.400613635,123.98526045,161,0.0030959752321981426
230_05COMPSTLA_05DAANBNTAY,2,05COMPSTLA,05DAANBNTAY,230.0,1.528945887,3.170384126,10.46649795,124.0065977,11.14643391,123.956809,10.806465930000002,123.98170335,162,0.0030959752321981426
230_05DAANBNTAY_04TABANGO,2,05DAANBNTAY,04TABANGO,230.0,3.731936757,7.738451148,11.14643391,123.956809,11.32347232,124.3434864,11.234953115,124.1501477,163,0.009287925696594427
230_04TABANGO_04KANANGA,2,04TABANGO,04KANANGA,230.0,23.85465006,49.46440847,11.32347232,124.3434864,11.16499313,124.5513085,11.244232725,124.44739745000001,164,0.009287925696594427
230_04KANANGA_04ORMOC,2,04KANANGA,04ORMOC,230.0,20.70869765,42.94103988,11.16499313,124.5513085,11.08748498,124.6446783,11.126239055,124.59799340000001,165,0.006191950464396285
138_04ORMOC_04TONGONA,1,04ORMOC,04TONGONA,138.0,1.412416421,0.994593891,11.08748498,124.6446783,11.16131421,124.6375583,11.124399595,124.64111829999999,166,0.006191950464396285
138_04ORMOC_04ISABEL,1,04ORMOC,04ISABEL,138.0,4.863069798,3.42447131,11.08748498,124.6446783,10.91933332,124.4489301,11.00340915,124.5468042,167,0.006191950464396285
138_04TONGONA_04ISABEL,1,04TONGONA,04ISABEL,138.0,5.802885196,4.086269516,11.16131421,124.6375583,10.91933332,124.4489301,11.040323765,124.5432442,168,0.006191950464396285
138_04ORMOC_04BABATNGN,2,04ORMOC,04BABATNGN,138.0,7.521860517,5.296735726,11.08748498,124.6446783,11.39550084,124.8966993,11.24149291,124.77068879999999,169,0.009287925696594427
138_04BABATNGN_04STARITATAP,1,04BABATNGN,04STARITATAP,138.0,1.966965357,1.38509557,11.39550084,124.8966993,11.39500758,125.0020505,11.395254210000001,124.9493749,170,0.009287925696594427
138_04BABATNGN_04STARITA,1,04BABATNGN,04STARITA,138.0,1.966965357,1.38509557,11.39550084,124.8966993,11.39500758,125.0020505,11.395254210000001,124.9493749,171,0.01238390092879257
138_04BABATNGN_04PARANAS,1,04BABATNGN,04PARANAS,138.0,7.568327281,5.329456642,11.39550084,124.8966993,11.76675071,125.0413517,11.581125775,124.9690255,172,0.015479876160990712
138_04PARANAS_04STARITATAP,1,04PARANAS,04STARITATAP,138.0,7.118007366,5.012350844,11.76675071,125.0413517,11.39500758,125.0020505,11.580879145,125.0217011,173,0.01238390092879257
138_04PARANAS_04CALBAYOG,2,04PARANAS,04CALBAYOG,138.0,9.310971164,6.556589756,11.76675071,125.0413517,12.05513914,124.6379129,11.910944924999999,124.8396323,174,0.01238390092879257
138_04ORMOC_04MAASIN,2,04ORMOC,04MAASIN,138.0,17.79489691,12.53079155,11.08748498,124.6446783,10.16255469,124.7791313,10.625019835,124.7119048,175,0.009287925696594427
138_04MAASIN_07UBAY,1,04MAASIN,07UBAY,138.0,5.647569108,3.976899199,10.16255469,124.7791313,10.02667044,124.5114284,10.094612565,124.64527985000001,176,0.0030959752321981426
69_07UBAY_07TAPAL,1,07UBAY,07TAPAL,69.0,1.875327224,0.305011973,10.02667044,124.5114284,10.06090051,124.5195759,10.043785475,124.51550215,177,0.006191950464396285
138_07UBAY_07CORELLA,1,07UBAY,07CORELLA,138.0,12.08919693,8.512957816,10.02667044,124.5114284,9.699520408,123.9593251,9.863095424,124.23537675,178,0.0030959752321981426
69_07UBAY_07CORELLA,1,07UBAY,07CORELLA,69.0,33.85758894,5.506756303,10.02667044,124.5114284,9.699520408,123.9593251,9.863095424,124.23537675,179,0.009287925696594427
138_09LALA_09AUROR,1,09LALA,09AUROR,138.0,4.053990451,2.854734677,7.911227421,123.8119647,8.027412336,123.992053,7.9693198785,123.90200885,180,0.0030959752321981426
138_09AUROR_09POLAN,2,09AUROR,09POLAN,138.0,34.2603793,24.1254374,8.027412336,123.992053,8.487292771,123.4122182,8.257352553499999,123.70213559999999,181,0.0
138_09AUROR_09NAGA,2,09AUROR,09NAGA,138.0,24.9554882,17.5731291,8.027412336,123.992053,7.810089854,122.6874697,7.918751094999999,123.33976135,182,0.0030959752321981426
138_09NAGA_09ZAMBO,2,09NAGA,09ZAMBO,138.0,35.18417318,24.77595359,7.810089854,122.6874697,7.080448449,122.215201,7.4452691515,122.45133535,183,0.0
138_09ZAMBO_09PITOG,2,09ZAMBO,09PITOG,138.0,28.79517563,20.2769561,7.080448449,122.215201,6.940740947,121.9918012,7.010594698,122.10350109999999,184,0.0
138_09ZAMBO_09WMPC,2,09ZAMBO,09WMPC,138.0,28.32883591,19.94856949,7.080448449,122.215201,7.080448449,122.215201,7.080448449,122.215201,185,0.0
138_09AUROR_10BALOI,1,09AUROR,10BALOI,138.0,5.209064824,3.668113719,8.027412336,123.992053,8.246038675,123.8260464,8.1367255055,123.9090497,186,0.0
138_09AUROR_10AGUS5,1,09AUROR,10AGUS5,138.0,4.735855232,3.334889493,8.027412336,123.992053,8.171003598,124.1971047,8.099207967,124.09457885,187,0.0
