storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP042010,CHANTHU,2010,0,1,0,0.0,0,0.0,0.0,0.0,1,0.003022910792274482
WP042010,CHANTHU,2010,1,2,0,0.0,0,0.0,0.0,0.0,1,0.003022910792274482
WP042010,CHANTHU,2010,2,3,0,0.0,0,0.0,0.0,0.0,1,0.0053690078673284715
WP042010,CHANTHU,2010,3,4,0,0.0,0,0.0,0.0,0.0,1,0.00593500468663927
WP042010,CHANTHU,2010,4,5,0,0.0,0,0.0,0.0,0.0,1,0.013597002616596581
WP042010,CHANTHU,2010,5,6,0,0.0,0,0.0,0.0,0.0,1,0.07467899575570623
WP042010,CHANTHU,2010,6,7,0,0.0,0,0.0,0.0,0.0,1,0.0755940566980114
WP042010,CHANTHU,2010,7,8,0,0.0,0,0.0,0.0,0.0,1,0.0755940566980114
WP042010,CHANTHU,2010,8,9,0,0.0,0,0.0,0.0,0.0,1,0.0755940566980114
WP042010,CHANTHU,2010,9,10,0,0.0,0,0.0,0.0,0.0,1,0.0755940566980114
WP042010,CHANTHU,2010,10,11,0,0.0,0,0.0,0.0,0.0,1,0.0755940566980114
WP042010,CHANTHU,2010,11,12,0,0.0,0,0.0,0.0,0.0,1,0.0755940566980114
