storm_id,impact_score,max_hazard,mean_hazard,impacted_buses,year,storm_name
WP182006,18.571323099039358,0.4834968852119607,0.05558351008734139,82,2006,XANGSANE
WP072008,16.063973385464337,0.29974246325593584,0.04623483049129675,117,2008,FENGSHEN
WP312000,14.064128582800867,0.33515513792276247,0.038206706634040896,74,2000,BEBINCA
WP302000,14.017981931830434,0.32511179796821943,0.04066749241327979,86,2000,XANGSANE
WP262022,13.183021447633688,0.18770813738403944,0.0381222454512727,87,2022,NALGAE
WP222020,11.934148132548112,0.624988615851977,0.03492174787868745,67,2020,GONI
WP092014,10.769369676987969,0.4120357935273776,0.03172134381901971,70,2014,RAMMASUN
WP182022,9.769064107722794,0.5118010494438756,0.028917228889922916,76,2022,NORU
WP132002,9.444040128216427,0.15201893303403125,0.02619505606904526,106,2002,UNNAMED
WP182021,7.960733070601213,0.20922348491595877,0.024547265177201485,85,2021,CONSON
WP032010,7.378029366735132,0.24348007994726595,0.01878684743688883,70,2010,CONSON
WP012024,7.286220200631431,0.21985502218143266,0.02125745794766785,76,2024,EWINIAR
WP252020,6.204209512350727,0.2262707764614993,0.01632745656853693,73,2020,VAMCO
WP242006,6.187803240551202,0.43448725864843946,0.020159985279800525,50,2006,DURIAN
WP312013,5.929374006513753,0.6626603006357026,0.02389201658940902,44,2013,HAIYAN
WP062013,5.6400269224339254,0.19449775450481252,0.015776767122177675,77,2013,RUMBIA
WP212008,5.551541771843622,0.1682661658063015,0.01645533208191316,74,2008,HIGOS
WP232009,5.473019509625874,0.2583102643265878,0.016279699089433608,66,2009,MIRINAE
WP242015,5.365287035828983,0.417001489643053,0.01980987672704473,49,2015,KOPPU
WP282015,5.29086683204591,0.19935988109416358,0.016594830303420023,74,2015,MELOR
WP282021,5.2743736873730676,0.26983442045312656,0.020629277734278677,51,2021,RAI
WP222014,5.04898922699103,0.23265380060257487,0.016615373150133426,75,2014,HAGUPIT
WP012020,4.7465343401643185,0.22122931638781484,0.015760121950578312,106,2020,VONGFONG
WP242013,4.387112836639486,0.3564284663131446,0.014053631857758216,59,2013,NARI
WP302017,3.969804904211322,0.10724138542883278,0.011842621462070936,77,2017,HAIKUI
WP232006,3.731633316799284,0.2786808195141166,0.013721494944675604,41,2006,CHEBI
WP152010,3.440013138735367,0.5037694306332406,0.012911206005769013,26,2010,MEGI
WP312018,3.375142428940411,0.378858473628033,0.013022415778217672,26,2018,YUTU
WP212017,3.3002101698370288,0.14160355993085277,0.009410054687398568,66,2017,DOKSURI
WP302019,3.240457590781289,0.5186482093679415,0.01354578886158412,33,2019,PHANFONE
WP112013,3.219740910783592,0.4311348100190435,0.012377825472862475,27,2013,UTOR
WP182002,3.030827141997545,0.08101784412084276,0.007531554714811346,67,2002,UNNAMED
WP262012,3.0193215175287804,0.20388850731182478,0.012539607035965942,49,2012,BOPHA
WP052011,3.011887823937754,0.12216417388780205,0.009112616035060127,67,2011,SARIKA
WP302016,3.0097275494461457,0.1984667298836318,0.009898297771785934,58,2016,NOCK-TEN
WP022005,2.8544796241574812,0.1697785477808166,0.011455837757600278,48,2005,ROKE
WP272001,2.757289996171875,0.11715651530391198,0.010933311344395765,51,2001,LINGLING
WP202011,2.6580059739287263,0.3807386018270301,0.010274719279012051,26,2011,NESAT
WP022009,2.62316240075844,0.31083949399183497,0.009879627372809029,29,2009,CHAN-HOM
WP052008,2.5130052109680197,0.20484340500084858,0.009452438542124476,33,2008,HALONG
WP222011,2.291877003873637,0.4238526677751773,0.00888656623131514,28,2011,NALGAE
WP082004,2.2477957874269454,0.18005352391788487,0.008995820171770088,54,2004,CHANTHU
WP222006,2.236979219896435,0.23496533725483812,0.008741649661673333,27,2006,CIMARON
WP232014,2.186224566288209,0.11012343724808256,0.00895366486936256,58,2014,JANGMI
WP192009,2.051656166845721,0.2823246834776846,0.008230234537135334,28,2009,PARMA
WP242016,2.0513780691385066,0.14130464741169022,0.007398942179433355,45,2016,SARIKA
WP272019,2.010907914687827,0.11709457305413441,0.007493071779004489,60,2019,KALMAEGI
WP052003,2.008510884353128,0.15318776746378487,0.007385159401045969,42,2003,LINFA
WP302001,1.8600369967049069,0.10350215229715307,0.007393972481177638,49,2001,KAJIKI
WP082003,1.8586565895169114,0.16547125918771427,0.0075129463847432845,47,2003,KONI
WP012017,1.8195597156545238,0.10171968736900053,0.007145127628836077,55,2017,UNNAMED
WP042021,1.8024666667231908,0.07036231097441067,0.005827962535586596,88,2021,CHOI-WAN
WP022006,1.7942193538216646,0.09163126479712996,0.005956458965245235,60,2006,CHANCHU
WP332017,1.736703704517312,0.19156875298745477,0.007383807645104656,38,2017,TEMBIN
WP292019,1.7269571303594613,0.20183020668221555,0.005931911797408641,42,2019,KAMMURI
WP232011,1.724342649646629,0.0960948719586987,0.006810964787465408,53,2011,BANYAN
WP032002,1.6351933875084628,0.15209988358504659,0.006719990729096046,74,2002,UNNAMED
WP332000,1.5867891909841112,0.17870210946588147,0.00651338437816622,45,2000,RUMBIA
WP232007,1.5547968377733297,0.08393928898208887,0.006031561388129975,67,2007,HAGIBIS
WP042010,1.4518640450978755,0.06007834512811786,0.004558155283191748,70,2010,CHANTHU
WP012001,1.394191633217934,0.11042290522585954,0.00562145212067199,60,2001,UNNAMED
WP292016,1.3785990125620262,0.09057181371849465,0.00556662361583992,49,2016,TOKAGE
WP232005,1.3399455172841594,0.1262583678148443,0.00509895665225702,39,2005,TEMBIN
WP262018,1.332324093777852,0.23960267630075796,0.00565739110125871,10,2018,MANGKHUT
WP252006,1.3014710240668557,0.1210829646513635,0.005382374895770058,36,2006,UTOR
WP222015,1.2798231868997045,0.11499890814800288,0.0044937033759805305,53,2015,MUJIGAE
WP092003,1.232352739430161,0.22821666652545466,0.004849402800539363,22,2003,IMBUDO
WP032001,1.23051498902279,0.10319865953808956,0.005074305976999664,73,2001,CIMARON
WP292013,1.2004525335192113,0.2746150153737463,0.005065999098421683,9,2013,KROSA
WP212014,1.197754716642805,0.13377404539958723,0.005043573257439714,54,2014,SINLAKU
WP272012,1.194465954577396,0.10732201853650651,0.004822234043319396,45,2012,WUKONG
