storm_id,storm_name,year,t,n_track_points_used,n_failed_lines_cumulative,failed_line_share_cumulative,n_unserved_buses,unserved_bus_share,affected_population_proxy,affected_population_share_proxy,n_components,max_line_hazard_this_step
WP012002,TAPAH,2002,0,1,0,0.0,0,0.0,0.0,0.0,1,0.0
WP012002,TAPAH,2002,1,2,0,0.0,0,0.0,0.0,0.0,1,0.0
WP012002,TAPAH,2002,2,3,0,0.0,0,0.0,0.0,0.0,1,0.0025113916980651955
WP012002,TAPAH,2002,3,4,0,0.0,0,0.0,0.0,0.0,1,0.009178368943516183
WP012002,TAPAH,2002,4,5,0,0.0,0,0.0,0.0,0.0,1,0.0111150103593358
WP012002,TAPAH,2002,5,6,0,0.0,0,0.0,0.0,0.0,1,0.0111150103593358
WP012002,TAPAH,2002,6,7,0,0.0,0,0.0,0.0,0.0,1,0.03389628447411452
WP012002,TAPAH,2002,7,8,0,0.0,0,0.0,0.0,0.0,1,0.037611122020672
WP012002,TAPAH,2002,8,9,0,0.0,0,0.0,0.0,0.0,1,0.037611122020672
